SAMPLE_ID	snpPC1	snpPC2	snpPC3	snpPC4	snpPC5	snpPC6	snpPC7	snpPC8	snpPC9	snpPC10
R3050_D193PACXX	-0.00914439	-0.0025146	-0.00154151	0.00747859	-0.00775524	0.000259735	-0.0122306	0.0115483	-0.000739425	0.000777402
R3670_C0VJYACXX	0.0115601	-0.00203685	0.000298	-0.00047055	0.000197819	0.000401271	0.000161529	0.000574212	6.64462e-05	-3.99808e-05
R3063_C00L0ACXX	0.0114044	-0.0023675	-0.000181318	-0.000242132	4.85874e-05	7.02457e-06	0.000329099	0.000153599	-0.000326593	-0.000118488
R3537_C2K2WACXX	-0.00660097	-0.00346884	-0.00551742	0.00124545	-0.00433038	0.0106812	-0.00632193	-0.00125078	0.00574745	0.000108008
R3611_C0VJYACXX	-0.0126166	-0.000786246	0.00513132	0.00675935	-0.0045824	4.92301e-05	2.19866e-05	0.0032171	-0.0082676	0.000285168
R3891_C101EACXX	0.00728018	0.0114843	8.83087e-05	-1.83949e-06	-0.000523824	-0.000407301	-0.000290198	-0.000215778	-0.000126768	-0.000273662
R3036_D193PACXX	-0.0019633	-0.00442483	-7.28548e-05	-0.00120508	-0.00432283	-0.00458204	4.38201e-05	-0.00452956	0.00476353	0.00417151
R3907_C101EACXX	0.00390738	0.0106853	-0.000111501	0.000349102	-0.000453137	-0.000219386	-0.000353013	-0.000495456	0.000186799	0.000164348
R5861_C0JKHACXX	-0.00968312	5.84994e-05	0.0042047	0.0118594	-0.0104208	-0.00421361	-0.00193318	0.000142153	0.00221199	0.00063939
R3469_C0JV6ACXX	-0.00623207	-0.00210926	-0.00113485	-0.00241314	0.00158753	-0.00845125	-0.00514459	-0.000802307	0.00387752	0.00032872
R4181_D1AAPACXX	-0.00834436	-0.00140457	-0.00369929	-0.00196745	9.94576e-05	-0.00954226	0.00199163	0.00296416	0.00894654	-0.000112626
R5863_C28MYACXX	-0.00849791	-0.00483458	-0.00389101	-0.000630816	0.00305792	-0.00235951	0.00769652	-0.000129168	0.00651419	0.00701996
R3477_C2K2WACXX	0.0120301	-0.00183041	-7.46911e-06	0.000311105	0.000206822	0.000433737	6.15926e-05	0.00015649	-0.000402704	-0.000641175
R3002_C28MYACXX	-0.00924905	-0.000661176	-0.00548139	-0.00916061	-0.00292783	-0.00107318	-0.00239094	0.000331641	-0.000364657	0.00716644
R2809_D2A01ACXX	0.0102582	-0.00198552	0.000539529	-4.10915e-05	0.000360775	-0.000186263	0.000186463	0.000443231	-0.000176503	-0.000229224
R3887_C101EACXX	-0.00363672	-0.00128585	-0.00195688	-0.000387566	-0.00566472	-0.000755813	0.000734604	-0.00816269	-0.00178208	5.13195e-05
R3446_D156YACXX	-0.0118006	-0.00151973	0.00829368	-0.000403452	-0.00629211	-0.00293946	0.00228768	-0.00277843	0.00366369	0.00322735
R3540_D0HMLACXX	-0.0122653	0.00233474	-0.00563884	-0.00757524	-0.000841133	0.00428983	0.00211135	-0.00116365	-0.00731235	0.00503087
R3456_D156YACXX	-0.00696648	-0.000550521	-0.000611793	0.0020343	0.00341767	0.00790305	0.00559494	0.00235506	-0.00565294	-0.00474697
R3494_C2K2WACXX	-0.00552971	-0.00344741	0.000533158	0.00954446	0.0030255	-0.00310047	-0.00231825	0.00163266	0.00223157	-0.00912938
R3575_C0JV6ACXX	-0.0135527	0.0035683	0.00188134	0.00226076	0.00329317	0.000468689	0.00324989	0.00700067	0.000457482	-1.80526e-05
R3604_D156YACXX	-0.00663813	-0.00297092	-0.00270193	-0.00261714	-0.00256606	0.00171457	0.00211956	-0.00130608	-0.00414878	-0.00276039
R3929_C101EACXX	-0.0086845	-0.00079425	0.00569346	-0.00183496	0.0122592	0.00530117	-0.00687859	-0.000299206	-0.00200794	0.00238895
R4108_C0GWRACXX	-0.0106155	-0.00175456	0.00043022	0.00205462	-0.0135976	0.00990896	0.00242796	0.00387783	0.000664208	-0.0119657
R5865_C28MMACXX	-0.00831817	-0.00127995	-0.00460578	-0.00679706	0.00106281	0.00167904	0.0048601	-0.00573376	-0.0061416	-0.014374
R4109_D0PGTACXX	-0.0128845	-0.000510234	0.00284782	0.00464144	0.000388074	0.00235604	-0.00239692	0.00748133	-0.00907908	0.004567
R3614_C2K2WACXX	0.0121193	-0.00230852	8.30002e-05	-3.57073e-05	-0.000361923	0.000148652	0.000138431	0.000437079	7.54371e-05	0.000110324
R3932_D0HMLACXX	0.0116789	-0.00230976	-0.000255085	9.1766e-05	0.000348605	-0.000507858	0.00022371	-0.000102984	5.4158e-05	3.42722e-05
R5885_C0CEWACXX	0.0104994	-0.000928757	-0.000119633	-0.000420434	0.000396409	-0.000215266	4.4954e-05	-0.000245818	-3.64694e-05	0.000318214
R5853_C28MMACXX	0.00784783	0.01095	-0.000331409	0.000490174	-0.000483239	-0.000242053	-0.000303959	-0.000658038	-0.000283408	0.000389404
R3517_D156YACXX	-0.00981871	-0.0023239	-0.00191084	0.00372891	0.000491928	0.00455247	-0.00677747	-0.0073003	-0.00152014	0.00644479
R3470_D156YACXX	-0.00640962	-0.00226362	0.00284125	0.00166721	0.00571699	0.00336691	0.00205294	0.00264682	-0.00495081	0.00398727
R3895_C101EACXX	-0.0114449	-0.000763939	-0.00396132	0.00641234	-0.00513055	-0.0062019	0.00167234	-0.00650471	0.0082766	0.00590819
R3616_D0HMLACXX	0.0119315	-0.000166503	-9.01552e-06	0.000265537	-0.000106011	0.000462659	0.000228941	0.00024935	-0.000270623	-0.000261057
R4111_D2A01ACXX	-0.0081121	0.00177424	-0.0083071	0.00668958	-0.000851199	0.00288398	-0.00312721	-0.00950316	0.00176247	-0.000945868
R3555_C0VJYACXX	0.0099407	-0.00160869	-1.15823e-05	0.000428103	0.00074379	-0.000743795	0.000349843	4.14787e-06	-8.46766e-05	-9.17587e-06
R3496_C0VJYACXX	0.0105217	0.00447457	0.00026293	4.41056e-05	-0.000332027	-0.000457447	6.35644e-05	9.55786e-05	-2.17897e-05	9.6445e-05
R3910_D0HMLACXX	0.00972492	0.00330421	0.000260497	-0.000504911	2.73189e-05	0.0002912	0.000278458	-9.36842e-05	-0.000106547	-0.000622632
R3639_C2K2WACXX	0.0115323	-0.00140722	-0.000311553	-0.000343672	0.000136057	0.000491969	-0.000198673	0.000172353	0.00031099	-0.000241202
R4114_C0GWRACXX	0.0119557	-0.00245934	-0.000351339	-0.000505185	-0.000225494	-9.80258e-05	1.67028e-05	0.000382221	9.94489e-05	1.68444e-06
R3506_C2K2WACXX	-0.0101103	0.000912467	-0.00426643	0.00217667	0.00364346	0.00632345	-0.0030721	-0.000387393	0.00346042	-0.000671438
R4207_D1AAPACXX	-0.0100692	-0.00180863	-0.00351913	-0.0028946	-0.00560432	-0.00492646	0.00050599	-0.000600691	-0.00212362	0.0130432
